WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-62c4b7cg6,tmcbride1,wsb-fnq7j7gpl,10.151.71.246,EC2AMAZ-OB33JV5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-3r5r4zvs6,kfoster7,wsb-1ytmbgt44,10.151.65.13,VDICHWY-OOAK8LJ,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-26z946pg0,bbronson,wsb-1ytmbgt44,10.151.73.27,VDICHWY-F2HLBK0,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-cybl6399c,jhall9,wsb-1ytmbgt44,10.151.78.114,VDICHWY-PK0KI0H,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-ftnlvg16q,sgarcia29,wsb-fnq7j7gpl,10.151.72.70,EC2AMAZ-TJVPEN0,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5wkwfjpg0,bharrell,wsb-1ytmbgt44,10.151.75.116,VDICHWY-FC9BQSG,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-9fj0cxkj6,wleger,wsb-fnq7j7gpl,10.151.75.97,EC2AMAZ-9MI9PFQ,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fwlwnch43,oorrben,wsb-1ytmbgt44,10.151.79.21,VDICHWY-RDGCFDQ,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-37yx2ww4k,cbermudez,wsb-1ytmbgt44,10.151.79.22,VDICHWY-JBVETDJ,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5y9nvynkw,thartis,wsb-1ytmbgt44,10.151.74.110,VDICHWY-NH23QPJ,STOPPED,AUTO_STOP,us-west-2,2022-11-15 23:00:09.339000-05:00,103
ws-4p1915jq4,rsizemore,wsb-1ytmbgt44,10.151.77.84,VDICHWY-EOVFRO8,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-7lnyphhtd,sjackson40,wsb-1ytmbgt44,10.151.67.22,VDICHWY-3BDEQ0L,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fsgkmc846,tmitchel21,wsb-1ytmbgt44,10.151.76.179,VDICHWY-KE6UMF4,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-0qkv8hq8n,nmosqueda,wsb-1ytmbgt44,10.151.72.58,VDICHWY-53AFGSV,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-1mvcnmdvr,tmiles7,wsb-1ytmbgt44,10.151.73.200,VDICHWY-CTJ0LGU,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5bx3j99hn,bdavis36,wsb-1ytmbgt44,10.151.64.30,VDICHWY-S1ID3ON,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-b73pgznsm,ldeal,wsb-1ytmbgt44,10.151.76.180,VDICHWY-0L61OKP,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5ttmgmtl1,aledoux,wsb-1ytmbgt44,10.151.72.151,VDICHWY-BRKI5S0,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-6qmr12r3c,gcontrera6,wsb-1ytmbgt44,10.151.76.114,VDICHWY-TBMBIKI,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-57y8c1f1r,jbermudez3,wsb-1ytmbgt44,10.151.77.51,VDICHWY-PQ550SS,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-bc8jn2zwy,dcuellar2,wsb-1ytmbgt44,10.151.68.228,VDICHWY-M9PSMK5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-x2ptjgy77,nmiller11,wsb-fnq7j7gpl,10.151.69.248,EC2AMAZ-GKAMLQD,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-bhl66jdck,ddavis57,wsb-1ytmbgt44,10.151.77.72,VDICHWY-RJLO5BU,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-k5fcg4221,tlee6,wsb-fnq7j7gpl,10.151.71.135,EC2AMAZ-6ONJC41,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-dp5d87r2f,sgear,wsb-fnq7j7gpl,10.151.73.224,EC2AMAZ-V0BROP2,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-wkcfc2t4j,vjardeleza,wsb-1ytmbgt44,10.151.66.18,VDICHWY-C4RR5BC,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-943zvgd41,jtalma,wsb-1ytmbgt44,10.151.70.2,VDICHWY-BLI2P33,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-dv205qbxs,areika,wsb-1ytmbgt44,10.151.74.230,VDICHWY-9F6OET9,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5wl4xdkrs,jglespie,wsb-fnq7j7gpl,10.151.69.38,EC2AMAZ-GP6O1GA,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-hx8nsdrlm,cmanboard,wsb-1ytmbgt44,10.151.75.88,VDICHWY-8O8N6RP,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5w43my947,jjohnstone,wsb-fnq7j7gpl,10.151.65.239,EC2AMAZ-RF0IUCB,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-10bggnjfn,epacheco5,wsb-1ytmbgt44,10.151.78.172,VDICHWY-TOLVFB3,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-k6j8xlwc7,fhamilton1,wsb-1ytmbgt44,10.151.72.214,VDICHWY-HQFD5Q2,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-19105jmjq,jsirota,wsb-1ytmbgt44,10.151.77.145,VDICHWY-V0KOVUC,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-g8xzzqw38,khathaway,wsb-1ytmbgt44,10.151.78.1,VDICHWY-SDQGN7S,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-7fjy4zch6,cpalmer10,wsb-1ytmbgt44,10.151.72.179,VDICHWY-M25J7B6,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-8k9rzs71c,ssteele2,wsb-fnq7j7gpl,10.151.73.129,EC2AMAZ-LIQ9M3F,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-35bl8vxzz,dgriffin6,wsb-1ytmbgt44,10.151.79.199,VDICHWY-OOQR4ES,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-kwpk268l5,tdorm,wsb-1ytmbgt44,10.151.72.137,VDICHWY-FO3QDHK,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-h0tywnbx5,jherie,wsb-1ytmbgt44,10.151.75.254,VDICHWY-04Q78JS,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-gmlt6s9tb,tlandrigan,wsb-1ytmbgt44,10.151.64.88,VDICHWY-SL0JQQ6,STOPPED,AUTO_STOP,us-west-2,No login registered, 
